EmployeeID,Age,Gender,MaritalStatus,Education,Department,JobRole,YearsAtCompany,YearsInCurrentRole,MonthlyIncome,JobSatisfaction,WorkLifeBalance,TrainingTimesLastYear,OverTime,DistanceFromHome,Attrition
1,54,Male,Single,PhD,Sales,Analyst,17,12,19618.16,2,3,3,No,27.77,No
2,47,Male,Married,Master,Finance,Technician,32,7,7958.49,4,2,9,No,43.56,No
3,41,Female,Married,Master,Sales,Manager,37,7,10839.85,3,2,2,Yes,25.76,Yes
4,29,Male,Divorced,High School,IT,Manager,3,18,14488.44,5,2,4,Yes,25.11,Yes
5,37,Female,Divorced,High School,IT,Developer,25,12,9591.07,3,1,7,No,2.87,Yes
6,26,Male,Divorced,High School,R&D,Sales Executive,19,18,14915.71,1,3,1,Yes,37.51,Yes
7,55,Female,Divorced,PhD,HR,Technician,37,6,4657.78,1,5,1,Yes,32.22,No
8,48,Female,Divorced,Bachelor,HR,Developer,38,8,6150.75,4,4,8,Yes,18.99,No
9,57,Male,Divorced,PhD,Sales,Analyst,19,17,8964.05,3,3,4,No,8.2,Yes
10,25,Female,Married,Bachelor,HR,Technician,16,15,19710.3,4,4,1,No,49.53,No
11,63,Female,Married,PhD,IT,Developer,26,12,8277.94,3,4,1,No,41.02,No
12,28,Male,Married,Bachelor,R&D,Analyst,33,7,18479.75,2,2,2,No,31.74,Yes
13,58,Male,Single,High School,Finance,Technician,15,13,17747.74,3,1,8,No,1.81,Yes
14,57,Female,Single,Bachelor,Sales,Developer,37,12,15604.49,3,1,5,No,43.62,No
15,45,Male,Divorced,High School,Sales,Sales Executive,20,16,8666.21,2,5,0,No,30.88,No
16,36,Female,Married,PhD,Finance,Developer,5,19,7947.96,5,5,9,Yes,8.74,No
17,27,Male,Divorced,Bachelor,IT,Technician,24,10,13514.47,1,2,2,Yes,40.89,No
18,47,Female,Married,Bachelor,Sales,Analyst,6,16,6186.17,3,4,4,Yes,30.58,No
19,47,Male,Married,Master,HR,Technician,12,12,8489.31,4,2,3,Yes,27.01,No
20,46,Male,Divorced,High School,HR,Technician,4,3,16672.42,2,1,4,Yes,7.86,No
21,54,Male,Divorced,Master,HR,Developer,13,4,5792.87,5,1,0,No,13.48,Yes
22,24,Female,Single,PhD,R&D,Technician,21,1,16906.18,1,2,0,No,34.83,Yes
23,30,Male,Married,PhD,Finance,Manager,5,4,11936.21,1,3,1,No,18.16,No
24,58,Male,Single,High School,IT,Sales Executive,13,4,11208.19,4,1,8,Yes,17.98,No
25,59,Female,Single,PhD,HR,Analyst,2,3,13045.16,5,5,2,No,9.83,Yes
26,51,Male,Single,PhD,HR,Sales Executive,6,18,13365.49,4,3,7,No,11.09,No
27,48,Female,Single,Bachelor,R&D,Developer,29,18,12050.02,1,2,9,No,34.04,No
28,34,Male,Married,Bachelor,HR,Developer,23,8,14625.73,3,3,2,Yes,46.17,No
29,44,Male,Married,Bachelor,R&D,Manager,35,8,8444.29,2,4,2,Yes,3.66,No
30,24,Male,Single,High School,Finance,Developer,10,7,16593.05,2,3,8,Yes,25.13,No
31,44,Female,Married,High School,Sales,Developer,20,8,5981.69,4,2,8,No,47.85,No
32,56,Male,Single,Bachelor,HR,Developer,25,16,14858.12,3,4,1,No,27.23,No
33,45,Female,Divorced,PhD,HR,Sales Executive,36,3,8937.5,1,5,7,No,21.74,Yes
34,58,Male,Single,Master,Finance,Manager,10,15,14507.5,2,5,8,No,15.23,Yes
35,33,Male,Divorced,Bachelor,Sales,Technician,27,18,2583.62,2,1,6,Yes,37.97,Yes
36,41,Female,Single,Bachelor,R&D,Analyst,7,11,9025.28,4,3,7,No,44.87,Yes
37,39,Female,Single,PhD,Sales,Manager,21,2,19336.19,5,2,0,Yes,49.5,No
38,28,Male,Married,PhD,HR,Sales Executive,22,19,12311.61,2,5,1,Yes,16.13,Yes
39,47,Female,Divorced,Bachelor,Finance,Technician,18,16,10987.66,4,5,7,Yes,7.23,No
40,33,Female,Married,Bachelor,IT,Technician,1,6,6453.95,1,3,2,Yes,36.46,Yes
41,55,Male,Single,Master,Finance,Analyst,25,9,10846.83,2,2,6,Yes,41.71,Yes
42,53,Female,Divorced,Master,R&D,Technician,21,15,16821.35,4,2,6,Yes,43.77,No
43,51,Female,Single,PhD,R&D,Manager,30,9,8091.83,5,4,7,No,30.61,No
44,23,Male,Divorced,Master,HR,Technician,32,10,12167.88,3,5,7,No,48.06,Yes
45,29,Male,Divorced,PhD,Finance,Sales Executive,35,2,14124.0,2,3,7,No,6.49,No
46,54,Female,Single,High School,IT,Technician,14,15,9215.73,4,5,4,No,16.09,Yes
47,63,Female,Single,Bachelor,Finance,Sales Executive,39,1,7094.71,3,3,0,No,15.69,No
